번호,접수번호,채취장소,의뢰자,검체유형,시료명,접수일,항목수,벤젠,톨루엔,일산화탄소,암모니아,황화수소,이황화탄소,불소화합물,염화수소,황산화물,질소산화물,포름알데히드,시안화수소,페놀화합물,수은화합물,먼지,카드뮴화합물,납화합물,크롬화합물,구리화합물,니켈및그화합물,아연화합물,매연,총탄화수소,비소화합물,유류 중 황함유량,스틸렌,에틸벤젠,철화합물,트리클로로에틸렌,아크릴로니트릴,"1,2-Dichlorethane",클로로포름,테트라클로로에틸렌,Carbon tetrachloride,Rn,PM-10,PM-2.5,CO2,Formaldehyde,세균
101,2792400057-01,경기 의정부시 체육로 250-25 (녹양동),의정부시장,실내공기질/실내공기질/나,1층 로비,03월 13일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,16.7,517,4,208
102,2792400057-02,경기 의정부시 체육로 250-25 (녹양동),의정부시장,실내공기질/실내공기질/나,2층 놀이꿈터,03월 13일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,18.7,686,6.6,187
103,2792400058-01,측정공,양주시장,대기및악취/지도점검/대 기,10-24-001,03월 11일,02월 02일,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,
104,2792400058-02,측정공,양주시장,대기및악취/지도점검/대 기,10-24-002,03월 11일,02월 02일,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
105,2792400058-03,측정공,양주시장,대기및악취/지도점검/대 기,10-24-003,03월 12일,02월 02일,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
106,2792400058-04,측정공,양주시장,대기및악취/지도점검/대 기,10-24-004,03월 12일,02월 02일,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
107,2792400059-01,,포천시장,대기및악취/지도점검/대 기,2015-03-07,03월 12일,02월 02일,,,,,,,,,,,,,,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,
108,2792400059-02,,포천시장,대기및악취/지도점검/대 기,2015-03-08,03월 13일,02월 02일,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,
109,2792400060-01,,기후환경관리과장,대기및악취/지도점검/대 기,환경관리 5-1,03월 06일,02월 02일,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,,,
110,2792400061-01,,기후환경관리과장,대기및악취/지도점검/대 기,환경관리 5-2,03월 15일,02월 02일,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,
111,2792400062-01,,포천시장,대기및악취/지도점검/대 기,2015-03-09,03월 14일,02월 02일,,,,,,,,,,,,,,,8.91,,,,,,,,,,,,,,,,,,,,,,,,,
112,2792400063-01,측정공,양주시장,대기및악취/지도점검/대 기,10-24-005,03월 13일,02월 02일,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,
113,2792400063-02,측정공,양주시장,대기및악취/지도점검/대 기,10-24-006,03월 13일,02월 02일,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
114,2792400064-01,측정공,양주시장,대기및악취/지도점검/대 기,10-24-007,03월 18일,02월 02일,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,
115,2792400064-02,측정공,양주시장,대기및악취/지도점검/대 기,10-24-008,03월 18일,02월 02일,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
116,2792400066-01,,기후환경관리과장,대기및악취/지도점검/대 기,환경관리5-3,03월 21일,02월 02일,,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,
117,2792400067-01,,기후환경관리과장,대기및악취/지도점검/대 기,환경관리5-4,03월 22일,02월 02일,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,
118,2792400068-01,측정공,양주시장,대기및악취/지도점검/대 기,10-24-009,03월 20일,02월 02일,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
119,2792400068-02,측정공,양주시장,대기및악취/지도점검/대 기,10-24-010,03월 20일,02월 02일,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
120,2792400068-03,측정공,양주시장,대기및악취/지도점검/대 기,10-24-011,03월 20일,02월 02일,,,,,,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,
121,2792400071-01,경기 양주시 장흥면 호국로 439-22 ,양주시장,실내공기질/실내공기질/나,1층 로비,03월 25일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.4,459,3.1,428
122,2792400071-02,경기 양주시 장흥면 호국로 439-22 ,양주시장,실내공기질/실내공기질/나,3층 302호,03월 25일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,7.3,433,7.7,234
123,2792400072-01,경기 양주시 고읍남로 6-6 (광사동),양주시장,실내공기질/실내공기질/가,9층 홀,03월 25일,04월 04일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,9.6,506,3,
124,2792400072-02,경기 양주시 고읍남로 6-6 (광사동),양주시장,실내공기질/실내공기질/가,10층 복도,03월 25일,04월 04일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,8.4,386,2.9,
125,2792400073-01,경기 양주시 독바위로300번길 12 A동(옥정동),양주시장,실내공기질/실내공기질/나,1층 나눔반,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,11.1,462,4.1,764
126,2792400073-02,경기 양주시 독바위로300번길 12 A동(옥정동),양주시장,실내공기질/실내공기질/나,4층 강당,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,11.7,454,4.6,95
127,2792400074-01,경기 양주시 고읍남로 36 (광사동) 골든스퀘어 3~6층,양주시장,실내공기질/실내공기질/나,5층 로비,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,18.1,819,6.1,720
128,2792400074-02,경기 양주시 고읍남로 36 (광사동) 골든스퀘어 3~6층,양주시장,실내공기질/실내공기질/나,6층 복도,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,27.7,517,6.5,234
129,2792400075-01,경기 양주시 양주산성로49번길 54 (남방동),양주시장,실내공기질/실내공기질/나,1층 복도,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,14,787,11.8,155
130,2792400075-02,경기 양주시 양주산성로49번길 54 (남방동),양주시장,실내공기질/실내공기질/나,2층 복도,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,14.3,1213,16.8,414
131,2792400076-01,경기 양주시 원학로147번길 53 에이동(광사동),양주시장,실내공기질/실내공기질/나,1층 복도,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,8.6,617,10,91
132,2792400076-02,경기 양주시 원학로147번길 53 에이동(광사동),양주시장,실내공기질/실내공기질/나,2층 물리치료실,03월 27일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,10.2,1033,40.5,365
133,2792400077-01,,기후환경관리과장,대기및악취/자체개선/대 기,환경관리5-5,03월 28일,02월 02일,,,,,,,,,,,,,,,5.18,,,,,,,,,,,,,,,,,,,,,,,,,
134,2792400078-01,,포천시장,대기및악취/지도점검/대 기,2015-03-10,03월 25일,02월 02일,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,
135,2792400078-02,,포천시장,대기및악취/지도점검/대 기,2015-03-11,03월 27일,02월 02일,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,
136,2792400078-03,,포천시장,대기및악취/지도점검/대 기,2015-03-12,03월 27일,02월 02일,,,,,,,,,,,,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
137,2792400078-04,,포천시장,대기및악취/지도점검/대 기,2015-03-13,03월 27일,02월 02일,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,
138,2792400079-01,경기 구리시 건원대로 47 (인창동),구리시장,실내공기질/실내공기질/나,1층 로비,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,9.2,806,6.6,175
139,2792400079-02,경기 구리시 건원대로 47 (인창동),구리시장,실내공기질/실내공기질/나,2층 물리치료실,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6.9,945,14.3,238
140,2792400080-01,경기 구리시 경춘로 144 (교문동),구리시장,실내공기질/실내공기질/나,1층 로비,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,9.1,1003,7.7,913
141,2792400080-02,경기 구리시 경춘로 144 (교문동),구리시장,실내공기질/실내공기질/나,5층 복도,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,6.5,857,8.1,191
142,2792400081-01,경기 구리시 체육관로 163 (교문동),구리시장,실내공기질/실내공기질/나,6F 로비,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,8.2,575,6.2,108
143,2792400081-02,경기 구리시 체육관로 163 (교문동),구리시장,실내공기질/실내공기질/나,7F 로비,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,8.9,614,6.9,428
144,2792400082-01,경기 남양주시 화도읍 수레로964번길 86 (주)21그램그룹,남양주시장,대기및악취/지도점검/대 기,(주)21그램그룹,04월 01일,02월 02일,,,,,,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2792400083-01,경기 구리시 경춘로162번길 26 (교문동),구리시장,실내공기질/실내공기질/나,1F 로비,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,8.9,692,12.7,123
146,2792400083-02,경기 구리시 경춘로162번길 26 (교문동),구리시장,실내공기질/실내공기질/나,3F 로비,04월 01일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,12.5,657,9.5,202
147,2792400084-01,측정공,양주시장,대기및악취/지도점검/대 기,10-24-012,03월 27일,02월 02일,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
148,2792400085-01,경기 구리시 검배로 42 (수택동),구리시장,실내공기질/실내공기질/나,3층 치료실,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,10.2,708,22.8,357
149,2792400085-02,경기 구리시 검배로 42 (수택동),구리시장,실내공기질/실내공기질/나,4층 로비,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,5.3,750,22.5,242
150,2792400086-01,경기 구리시 벌말로 145 (토평동) 3층,구리시장,실내공기질/실내공기질/나,3층 로비,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,8.7,667,18.9,231
151,2792400086-02,경기 구리시 벌말로 145 (토평동) 3층,구리시장,실내공기질/실내공기질/나,3층 복도,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,8.3,837,20.5,226
152,2792400087-01,경기 구리시 동구릉로460번길 8 (사노동),구리시장,실내공기질/실내공기질/나,1F 로비,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,12.5,911,7.7,150
153,2792400087-02,경기 구리시 동구릉로460번길 8 (사노동),구리시장,실내공기질/실내공기질/나,4F 생활실,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,9.2,424,9.3,143
154,2792400088-01,경기 의정부시 송산로939번길 79 (산곡동),의정부시장,실내공기질/실내공기질/나,A동 1F 로비,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,6.2,889,12.9,193
155,2792400088-02,경기 의정부시 송산로939번길 79 (산곡동),의정부시장,실내공기질/실내공기질/나,C동 1F 로비,04월 03일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,18.3,591,20,182
156,2792400089-01,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,611호,04월 02일,08월 08일,불검출,267.42,,,,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,9.3,
157,2792400089-02,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,612호,04월 02일,08월 08일,불검출,124.68,,,,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,5.9,
158,2792400089-03,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,910호,04월 02일,09월 09일,불검출,290.39,,,,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,11.4,
159,2792400089-04,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,911호,04월 02일,09월 09일,불검출,145.1,,,,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,11.8,
160,2792400089-05,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,912호,04월 02일,09월 09일,불검출,45.29,,,,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,10,
161,2792400089-06,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,1211호,04월 02일,08월 08일,불검출,96.92,,,,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,5,
162,2792400089-07,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,1212호,04월 02일,08월 08일,불검출,97.89,,,,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,8.6,
163,2792400090-01,측정공,양주시장,대기및악취/지도점검/대 기,10-24-013,04월 08일,02월 02일,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
164,2792400090-02,측정공,양주시장,대기및악취/지도점검/대 기,10-24-014,04월 08일,02월 02일,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
165,2792400090-03,측정공,양주시장,대기및악취/지도점검/대 기,10-24-015,04월 08일,02월 02일,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
166,2792400091-01,경기 포천시 소흘읍 송우로 80 ,포천시장,실내공기질/실내공기질/나,3층 구검진실,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,16.8,894,10.4,193
167,2792400091-02,경기 포천시 소흘읍 송우로 80 ,포천시장,실내공기질/실내공기질/나,4층 휴게실,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,13.1,676,8.7,229
168,2792400092-01,경기 포천시 소흘읍 화합로264번길 73 ,포천시장,실내공기질/실내공기질/나,1층 가람반,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,25.4,515,16.2,477
169,2792400092-02,경기 포천시 소흘읍 화합로264번길 73 ,포천시장,실내공기질/실내공기질/나,2층 산들반,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,16.8,614,20.3,306
170,2792400093-01,경기 포천시 소흘읍 송선로 67 ,포천시장,실내공기질/실내공기질/나,1F 샘물반,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,16.5,683,19.1,508
171,2792400093-02,경기 포천시 소흘읍 송선로 67 ,포천시장,실내공기질/실내공기질/나,1F 별님반,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,11.2,572,12.7,609
172,2792400094-01,경기 포천시 송선로 203 (설운동),포천시장,실내공기질/실내공기질/나,1F 로비,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,28.8,620,21.7,1547
173,2792400094-02,경기 포천시 송선로 203 (설운동),포천시장,실내공기질/실내공기질/나,3F 강당,04월 08일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,13.7,705,20.2,1277
174,2792400095-01,경기 포천시 소흘읍 광릉수목원로 1159-1 ,포천시장,실내공기질/실내공기질/나,1층 로비,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,18.9,449,16.1,143
175,2792400095-02,경기 포천시 소흘읍 광릉수목원로 1159-1 ,포천시장,실내공기질/실내공기질/나,4층 생활실,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,9.5,664,32,314
176,2792400096-01,경기 포천시 소흘읍 광릉수목원로 1159-2 ,포천시장,실내공기질/실내공기질/나,1층 로비,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,9.7,526,15.3,117
177,2792400096-02,경기 포천시 소흘읍 광릉수목원로 1159-2 ,포천시장,실내공기질/실내공기질/나,4층 생활관,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,16.3,851,44.3,74
178,2792400097-01,경기 포천시 소흘읍 검바위1길 14-59 ,포천시장,실내공기질/실내공기질/나,1F 복도,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,18.7,734,11.9,1147
179,2792400097-02,경기 포천시 소흘읍 검바위1길 14-59 ,포천시장,실내공기질/실내공기질/나,2F 복도,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,10.5,593,12.1,381
180,2792400098-01,경기 포천시 소흘읍 태봉로63번길 13 ,포천시장,실내공기질/실내공기질/나,1F 로비,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,18,588,14.5,165
181,2792400098-02,경기 포천시 소흘읍 태봉로63번길 13 ,포천시장,실내공기질/실내공기질/나,2F 소리반,04월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,14,804,30.6,327
182,2792400099-01,,포천시장,대기및악취/지도점검/대 기,2015-04-01,04월 12일,02월 02일,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,
183,2792400099-02,,포천시장,대기및악취/지도점검/대 기,2015-04-02,04월 12일,02월 02일,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,
184,2792400100-01,,포천시장,대기및악취/지도점검/대 기,2015-04-03,04월 16일,02월 02일,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,
185,2792400100-02,,포천시장,대기및악취/지도점검/대 기,2015-04-04,04월 16일,02월 02일,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,
186,2792400101-01,경기 포천시 왕방로252번길 8 (신읍동),포천시장,실내공기질/실내공기질/나,1층 로비,04월 16일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,18,828,24,1173
187,2792400101-02,경기 포천시 왕방로252번길 8 (신읍동),포천시장,실내공기질/실내공기질/나,2층 예다움반,04월 16일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,10.4,698,16.1,235
188,2792400102-01,경기 포천시 자작로4길 71 (자작동),포천시장,실내공기질/실내공기질/나,1층 휴게실,04월 16일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,9.1,368,20.8,127
189,2792400102-02,경기 포천시 자작로4길 71 (자작동),포천시장,실내공기질/실내공기질/나,1층 다목적실,04월 16일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,26,440,10,615
190,2792400103-01,경기 포천시 소흘읍 솔모루로 31 ,포천시장,실내공기질/실내공기질/가,4층 로비,04월 16일,04월 04일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,10.8,456,22.2,
191,2792400103-02,경기 포천시 소흘읍 솔모루로 31 ,포천시장,실내공기질/실내공기질/가,4층 289좌석,04월 16일,04월 04일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,16.2,401,33.2,
192,2792400104-01,경기 포천시 소흘읍 죽엽산로35번길 36-25 ,포천시장,실내공기질/실내공기질/나,1층 로비,04월 16일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,14.3,541,29.4,462
193,2792400104-02,경기 포천시 소흘읍 죽엽산로35번길 36-25 ,포천시장,실내공기질/실내공기질/나,3층 거실,04월 16일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,10.5,564,26.2,138
194,2792400105-01,경기 양주시 남면 삼일로 552 배출시설 측정공,기후환경관리과장,대기및악취/지도점검/대 기,태형기업(주),04월 18일,04월 04일,,,,,,,,0.65,2.3,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2792400106-01,경기 포천시 영북면 영북로 206 (산내들 아이파크),포천시장,실내공기질/실내공기질/나,유희실,04월 18일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,16.4,647,12,403
196,2792400106-02,경기 포천시 영북면 영북로 206 (산내들 아이파크),포천시장,실내공기질/실내공기질/나,도서영역,04월 18일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,13.9,414,11.2,155
197,2792400107-01,경기 포천시 영북면 운천로23번길 7-8 ,포천시장,실내공기질/실내공기질/가,로비,04월 18일,04월 04일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,13.6,334,12.7,
198,2792400107-02,경기 포천시 영북면 운천로23번길 7-8 ,포천시장,실내공기질/실내공기질/가,2층 상영관,04월 18일,04월 04일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,10.7,462,10.5,
199,2792400108-01,,기후환경관리과장,대기및악취/지도점검/대 기,환경관리5-6,04월 17일,02월 02일,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,
200,2792400109-01,경기 동두천시 강변로690번길 51 대재에너지(주),기후환경관리과장,대기및악취/자체개선/대 기,대재에너지(주)_1호기,04월 19일,02월 02일,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
201,2792400110-01,경기 동두천시 강변로690번길 51 대재에너지(주),기후환경관리과장,대기및악취/개선완료/대 기,대재에너지(주)_2호기,04월 19일,02월 02일,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
202,2792400111-01,경기 가평군 상면 물골길 262-23 ,가평군수,실내공기질/실내공기질/나,1층 로비(본관),04월 22일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,11.2,353,7.7,173
203,2792400111-02,경기 가평군 상면 물골길 262-23 ,가평군수,실내공기질/실내공기질/나,3층 휴게실(B동),04월 22일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,8.7,425,4,109
204,2792400112-01,경기 포천시 화현면 화동로 587-1 ,포천시장,실내공기질/실내공기질/나,1층 도서관,04월 22일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,8.1,770,22.9,158
